"n","result","title"
"1","closed","[卡路里] wayfinder 决策地图 · v1.0 重设计 446 场景（11 分类全定稿）"
"38","closed","[卡路里] 身材照片 10 场景 · 逐场景人工验收(5 层链路 · 开发者引导实测)"
"39","closed","[卡路里] 身体细节 13 场景全流程人工验收(用户实测 · 2026-08-02)"
"40","closed","[卡路里] 运动 39 场景人工验收审查(用户逐场景拍板 · AI 辅助协议)"
"41","closed","[卡路里] 分析 154 场景 · 人工逐场景审查(验收闭环)"
"42","closed","[卡路里] 健身计划 29 场景人工验收审查(ticket #6 完成态 · 5 层工作流)"
"318","closed","[卡路里] plan_builder_wizard 周视图 sIdx 未定义 · swap 功能渲染中断（#314 波① 发现）"
"323","closed","[卡路里][bug] 健身计划「复制数据」按钮内容为空壳（scene.snapshot 未注入）"
"377","closed","[卡路里] 图表回切 · yTicks + ownScale 采用（公共层 #333/#334 已实现）"
"163","closed","[饼干记账] v2.0 实施 · wayfinder 实施地图"
"200","closed","[私家大厨] 实施编排 map · v4.0 落地(10 域场景+08 对齐+数据层+开源)"
"215","closed","[私家大厨] T14 开源收尾 · 泄漏清理+SKILL.md+HELP+README · v4.0"
"217","closed","[私家大厨] T4 审查配对 · 首次使用向导 08 门禁 B 人工验收(ready-for-human)"
"219","closed","[私家大厨] T9 审查配对 · 采购清单 已有vs需买详情层 门禁 B 人工验收(ready-for-human)"
"221","closed","[私家大厨] T7 审查配对 · 搜索筛选 纠错+排除+7字段 门禁 B 人工验收(ready-for-human)"
"223","closed","[私家大厨] T8 审查配对 · 做菜域 断点续做+完结闭环 门禁 B 人工验收(ready-for-human)"
"293","closed","[私家大厨] Base 重构优化 · 全部 HTML 迁公共组件（grilling → task）"
"178","skipped-CLOSED","[备忘录] v1.2.1 开源交付 · 人工验收(README 安装走通 + HELP 双端视口)"
"296","closed","[作息管家] Base 重构优化 · 全部 HTML 迁公共组件（grilling → task）"
"381","closed","[公共组件] charts.line smooth 曲线不经过内点 · 数据点飘在曲线外（几何采样验证）"
"382","closed","[跨技能] charts 新参数技能侧回切追踪（v1.18-v1.25 上线后 · 13 模板）"
"270","closed","[技能互联] wayfinder 决策地图 · 6 技能数据契约层打通"
"277","closed","[技能互联] 消费方开发 · 卡路里（grilling → task）"
"278","closed","[技能互联] 消费方开发 · 饼干记账（grilling → task）"
"279","closed","[技能互联] 消费方开发 · 作息管家（grilling → task）"
"280","closed","[技能互联] 消费方开发 · 居家管家（grilling → task）"
"281","closed","[技能互联] 消费方开发 · 备忘录（grilling → task）"
"282","closed","[技能互联] 消费方开发 · 私家大厨（grilling → task）"
"283","closed","[技能互联] 07 · 校验器 v1.1 · 组合表三级引用断言（task）"
